Path,Line,Tag,Text,ContextBefore,ContextAfter
.claude\memory\CLAUDE.md,265,STUB,- [ ] Offline Accumulate client stub,- [ ] Table-driven tests with goldens,
CLAUDE.md,195,TODO,## Backlog Triage via TODO Scanner,,
CLAUDE.md,197,TODO,The repository includes a comprehensive TODO scanner that helps track technical debt and work items across the codebase.,,
CLAUDE.md,199,TODO,### Running TODO Scans,,
CLAUDE.md,203,TODO,make todo-scan,```bash,```
CLAUDE.md,209,TODO,./scripts/todo-scan.sh,# Linux/Docker (recommended),
CLAUDE.md,212,TODO,.\scripts\todo-scan.ps1,# Windows PowerShell,
CLAUDE.md,218,TODO,### TODO Patterns Detected,,
CLAUDE.md,221,TODO,- **TODO**: General work items,The scanner looks for these markers (case-insensitive):,- **FIXME**: Bugs that need fixing
CLAUDE.md,222,FIXME,- **FIXME**: Bugs that need fixing,- **TODO**: General work items,- **XXX**: Code that needs attention
CLAUDE.md,223,XXX,- **XXX**: Code that needs attention,- **FIXME**: Bugs that need fixing,- **HACK**: Temporary workarounds
CLAUDE.md,224,HACK,- **HACK**: Temporary workarounds,- **XXX**: Code that needs attention,- **STUB**: Placeholder implementations
CLAUDE.md,225,STUB,- **STUB**: Placeholder implementations,- **HACK**: Temporary workarounds,- **TBA/TBD**: To be added/determined
CLAUDE.md,226,TBA,- **TBA/TBD**: To be added/determined,- **STUB**: Placeholder implementations,- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations
CLAUDE.md,226,TBD,- **TBA/TBD**: To be added/determined,- **STUB**: Placeholder implementations,- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations
CLAUDE.md,227,NOTIMPLEMENTED,- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations,- **TBA/TBD**: To be added/determined,"- **PANIC(""TODO"")**: Critical unimplemented paths"
CLAUDE.md,227,NOTIMPLEMENTED,- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations,- **TBA/TBD**: To be added/determined,"- **PANIC(""TODO"")**: Critical unimplemented paths"
CLAUDE.md,228,TODO,"- **PANIC(""TODO"")**: Critical unimplemented paths",- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations,- **@deprecated/DEPRECATED**: Deprecated code
CLAUDE.md,228,TODO,"- **PANIC(""TODO"")**: Critical unimplemented paths",- **NOTIMPL/NOTIMPLEMENTED**: Missing implementations,- **@deprecated/DEPRECATED**: Deprecated code
CLAUDE.md,229,DEPRECATED,- **@deprecated/DEPRECATED**: Deprecated code,"- **PANIC(""TODO"")**: Critical unimplemented paths",
CLAUDE.md,234,TODO,- **todo-report.json**: Machine-readable data for automation,Reports are generated in `./reports/`:,- **todo-report.md**: Human-readable report with code excerpts
CLAUDE.md,235,TODO,- **todo-report.md**: Human-readable report with code excerpts,- **todo-report.json**: Machine-readable data for automation,- **todo-report.csv**: Spreadsheet-compatible format
CLAUDE.md,236,TODO,- **todo-report.csv**: Spreadsheet-compatible format,- **todo-report.md**: Human-readable report with code excerpts,
CLAUDE.md,243,FIXME,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# High-priority items,
CLAUDE.md,243,XXX,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# High-priority items,
CLAUDE.md,243,TODO,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# High-priority items,
CLAUDE.md,246,TODO,"grep -E ""(TODO|NOTIMPL|STUB)"" reports/todo-report.md",# Implementation gaps,
CLAUDE.md,246,NOTIMPLEMENTED,"grep -E ""(TODO|NOTIMPL|STUB)"" reports/todo-report.md",# Implementation gaps,
CLAUDE.md,246,STUB,"grep -E ""(TODO|NOTIMPL|STUB)"" reports/todo-report.md",# Implementation gaps,
CLAUDE.md,246,TODO,"grep -E ""(TODO|NOTIMPL|STUB)"" reports/todo-report.md",# Implementation gaps,
CLAUDE.md,249,HACK,"grep -E ""(HACK|DEPRECATED)"" reports/todo-report.md",# Technical debt,```
CLAUDE.md,249,TODO,"grep -E ""(HACK|DEPRECATED)"" reports/todo-report.md",# Technical debt,```
CLAUDE.md,255,TODO,"grep ""resolver-go"" reports/todo-report.md",# Resolver issues,
CLAUDE.md,258,TODO,"grep ""registrar-go"" reports/todo-report.md",# Registrar issues,
CLAUDE.md,261,TODO,"grep ""docs/"" reports/todo-report.md",# Documentation tasks,```
CLAUDE.md,267,TODO,jq '.summary.countsByTag' reports/todo-report.json,# Count by tag,
CLAUDE.md,270,TODO,"jq '.items[] | select(.path | startswith(""resolver-go/""))' reports/todo-report.json",# Items in specific directory,
CLAUDE.md,273,FIXME,"jq '.items[] | select(.tag == ""FIXME"" or .tag == ""XXX"")' reports/todo-report.json",# High-priority items with context,```
CLAUDE.md,273,XXX,"jq '.items[] | select(.tag == ""FIXME"" or .tag == ""XXX"")' reports/todo-report.json",# High-priority items with context,```
CLAUDE.md,273,TODO,"jq '.items[] | select(.tag == ""FIXME"" or .tag == ""XXX"")' reports/todo-report.json",# High-priority items with context,```
CLAUDE.md,279,TODO,1. **Weekly scans**: Run `make todo-scan` during sprint planning,**Recommended workflow:**,2. **Triage new items**: Review `todo-report.md` for high-priority issues
CLAUDE.md,280,TODO,2. **Triage new items**: Review `todo-report.md` for high-priority issues,1. **Weekly scans**: Run `make todo-scan` during sprint planning,3. **Convert to issues**: Move critical TODOs into GitHub issues or `spec/BACKLOG.md`
CLAUDE.md,288,TODO,run: make todo-scan,- name: Scan TODOs,- name: Check for critical TODOs
CLAUDE.md,291,FIXME,"if grep -q ""PANIC\|FIXME"" reports/todo-report.md; then",run: |,"echo ""⚠️ Critical TODOs found - review required"""
CLAUDE.md,291,TODO,"if grep -q ""PANIC\|FIXME"" reports/todo-report.md; then",run: |,"echo ""⚠️ Critical TODOs found - review required"""
CLAUDE.md,293,TODO,cat reports/todo-report.md,"echo ""⚠️ Critical TODOs found - review required""",fi
CLAUDE.md,299,TODO,**TODO lifecycle management:**,,"1. **New TODOs**: Use specific tags (TODO for features, FIXME for bugs)"
CLAUDE.md,300,TODO,"1. **New TODOs**: Use specific tags (TODO for features, FIXME for bugs)",**TODO lifecycle management:**,2. **Context required**: Include brief description of what needs to be done
CLAUDE.md,300,FIXME,"1. **New TODOs**: Use specific tags (TODO for features, FIXME for bugs)",**TODO lifecycle management:**,2. **Context required**: Include brief description of what needs to be done
CLAUDE.md,306,TODO,- Use `TODO` for planned features or improvements,**Tag guidelines:**,- Use `FIXME` for known bugs or issues
CLAUDE.md,307,FIXME,- Use `FIXME` for known bugs or issues,- Use `TODO` for planned features or improvements,- Use `HACK` for temporary workarounds that need proper solutions
CLAUDE.md,308,HACK,- Use `HACK` for temporary workarounds that need proper solutions,- Use `FIXME` for known bugs or issues,- Use `DEPRECATED` when phasing out code
CLAUDE.md,310,XXX,- Avoid `XXX` except for urgent attention-required items,- Use `DEPRECATED` when phasing out code,
Makefile,100,TODO,.PHONY: dev-shell test-all ci-local dev-up dev-down check-imports conformance perf help lint test-race vet qa dist-clean binaries-local images-local sbom-local scan-local docs-archive release-local sdk-test sdk-merge-spec example-sdk todo-scan,,
Makefile,228,TODO,# TODO Scanner,# ========================================================================,# ========================================================================
Makefile,231,TODO,todo-scan:,,"@echo ""🔍 Scanning repository for TODO markers..."""
Makefile,232,TODO,"@echo ""🔍 Scanning repository for TODO markers...""",todo-scan:,@mkdir -p reports
Makefile,235,TODO,"docker compose -f docker-compose.dev.yml run --rm dev 'bash -lc ""go run tools/todoscan/main.go . && echo \""\"" && echo \""📊 Quick Summary:\"" && test -f reports/todo-report.json && jq -r \"".totalCount,(.summary.countsByTag | to_entries[] | \\\""  - \\(.key): \\(.value)\\\"")\"" reports/todo-report.json || echo \""Reports generated in ./reports/\""""'; \",@if command -v docker >/dev/null 2>&1 && test -f docker-compose.dev.yml; then \,elif command -v go >/dev/null 2>&1 && test -f tools/todoscan/main.go; then \
Makefile,235,TODO,"docker compose -f docker-compose.dev.yml run --rm dev 'bash -lc ""go run tools/todoscan/main.go . && echo \""\"" && echo \""📊 Quick Summary:\"" && test -f reports/todo-report.json && jq -r \"".totalCount,(.summary.countsByTag | to_entries[] | \\\""  - \\(.key): \\(.value)\\\"")\"" reports/todo-report.json || echo \""Reports generated in ./reports/\""""'; \",@if command -v docker >/dev/null 2>&1 && test -f docker-compose.dev.yml; then \,elif command -v go >/dev/null 2>&1 && test -f tools/todoscan/main.go; then \
Makefile,240,TODO,if command -v jq >/dev/null 2>&1 && test -f reports/todo-report.json; then \,"echo ""📊 Quick Summary:""; \","jq -r '.totalCount,(.summary.countsByTag | to_entries[] | ""  - \(.key): \(.value)"")' reports/todo-report.json; \"
Makefile,241,TODO,"jq -r '.totalCount,(.summary.countsByTag | to_entries[] | ""  - \(.key): \(.value)"")' reports/todo-report.json; \",if command -v jq >/dev/null 2>&1 && test -f reports/todo-report.json; then \,else \
Makefile,282,TODO,"@echo ""  todo-scan       - Scan repository for TODO/FIXME/XXX markers""","@echo ""🔍 Code analysis:""","@echo """""
Makefile,282,TODO,"@echo ""  todo-scan       - Scan repository for TODO/FIXME/XXX markers""","@echo ""🔍 Code analysis:""","@echo """""
Makefile,282,FIXME,"@echo ""  todo-scan       - Scan repository for TODO/FIXME/XXX markers""","@echo ""🔍 Code analysis:""","@echo """""
Makefile,282,XXX,"@echo ""  todo-scan       - Scan repository for TODO/FIXME/XXX markers""","@echo ""🔍 Code analysis:""","@echo """""
docs\ops\OPERATIONS.md,701,TODO,## 8. Backlog Triage via TODO Scanner,,
docs\ops\OPERATIONS.md,703,TODO,The repository includes a comprehensive TODO scanner for tracking technical debt and work items across the codebase.,,
docs\ops\OPERATIONS.md,709,TODO,make todo-scan,```bash,```
docs\ops\OPERATIONS.md,718,TODO,./scripts/todo-scan.sh,# Linux/Unix shell script,
docs\ops\OPERATIONS.md,721,TODO,.\scripts\todo-scan.ps1,# Windows PowerShell script,
docs\ops\OPERATIONS.md,727,TODO,### TODO Markers Detected,,
docs\ops\OPERATIONS.md,733,TODO,| `TODO` | General work items | Medium |,|-----|---------|----------|,| `FIXME` | Known bugs/issues | High |
docs\ops\OPERATIONS.md,734,FIXME,| `FIXME` | Known bugs/issues | High |,| `TODO` | General work items | Medium |,| `XXX` | Code requiring attention | High |
docs\ops\OPERATIONS.md,735,XXX,| `XXX` | Code requiring attention | High |,| `FIXME` | Known bugs/issues | High |,| `HACK` | Temporary workarounds | Medium |
docs\ops\OPERATIONS.md,736,HACK,| `HACK` | Temporary workarounds | Medium |,| `XXX` | Code requiring attention | High |,| `STUB` | Placeholder implementations | Medium |
docs\ops\OPERATIONS.md,737,STUB,| `STUB` | Placeholder implementations | Medium |,| `HACK` | Temporary workarounds | Medium |,| `TBA/TBD` | Items to be added/determined | Low |
docs\ops\OPERATIONS.md,738,TBA,| `TBA/TBD` | Items to be added/determined | Low |,| `STUB` | Placeholder implementations | Medium |,| `NOTIMPL` | Missing implementations | High |
docs\ops\OPERATIONS.md,738,TBD,| `TBA/TBD` | Items to be added/determined | Low |,| `STUB` | Placeholder implementations | Medium |,| `NOTIMPL` | Missing implementations | High |
docs\ops\OPERATIONS.md,739,NOTIMPLEMENTED,| `NOTIMPL` | Missing implementations | High |,| `TBA/TBD` | Items to be added/determined | Low |,"| `PANIC(""TODO"")` | Critical unimplemented paths | Critical |"
docs\ops\OPERATIONS.md,740,TODO,"| `PANIC(""TODO"")` | Critical unimplemented paths | Critical |",| `NOTIMPL` | Missing implementations | High |,| `@deprecated` | Deprecated code | Medium |
docs\ops\OPERATIONS.md,740,TODO,"| `PANIC(""TODO"")` | Critical unimplemented paths | Critical |",| `NOTIMPL` | Missing implementations | High |,| `@deprecated` | Deprecated code | Medium |
docs\ops\OPERATIONS.md,741,DEPRECATED,| `@deprecated` | Deprecated code | Medium |,"| `PANIC(""TODO"")` | Critical unimplemented paths | Critical |",
docs\ops\OPERATIONS.md,747,TODO,- **`todo-report.json`** - Machine-readable data with full context,,- **`todo-report.md`** - Human-readable report with code excerpts
docs\ops\OPERATIONS.md,748,TODO,- **`todo-report.md`** - Human-readable report with code excerpts,- **`todo-report.json`** - Machine-readable data with full context,- **`todo-report.csv`** - Spreadsheet-compatible format for analysis
docs\ops\OPERATIONS.md,749,TODO,- **`todo-report.csv`** - Spreadsheet-compatible format for analysis,- **`todo-report.md`** - Human-readable report with code excerpts,
docs\ops\OPERATIONS.md,756,TODO,make todo-scan,# 1. Run scan during sprint planning,
docs\ops\OPERATIONS.md,759,FIXME,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# 2. Review critical items,
docs\ops\OPERATIONS.md,759,XXX,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# 2. Review critical items,
docs\ops\OPERATIONS.md,759,TODO,"grep -E ""(FIXME|XXX|PANIC)"" reports/todo-report.md",# 2. Review critical items,
docs\ops\OPERATIONS.md,762,NOTIMPLEMENTED,"grep -E ""(NOTIMPL|STUB)"" reports/todo-report.md",# 3. Check implementation gaps,
docs\ops\OPERATIONS.md,762,STUB,"grep -E ""(NOTIMPL|STUB)"" reports/todo-report.md",# 3. Check implementation gaps,
docs\ops\OPERATIONS.md,762,TODO,"grep -E ""(NOTIMPL|STUB)"" reports/todo-report.md",# 3. Check implementation gaps,
docs\ops\OPERATIONS.md,765,HACK,"grep -E ""(HACK|DEPRECATED)"" reports/todo-report.md",# 4. Monitor technical debt,```
docs\ops\OPERATIONS.md,765,TODO,"grep -E ""(HACK|DEPRECATED)"" reports/todo-report.md",# 4. Monitor technical debt,```
docs\ops\OPERATIONS.md,771,TODO,"jq '.items[] | select(.path | startswith(""resolver-go/""))' reports/todo-report.json",# Resolver issues,
docs\ops\OPERATIONS.md,774,TODO,"jq '.items[] | select(.path | startswith(""registrar-go/""))' reports/todo-report.json",# Registrar issues,
docs\ops\OPERATIONS.md,777,TODO,"jq '.items[] | select(.path | startswith(""docs/""))' reports/todo-report.json",# Documentation tasks,
docs\ops\OPERATIONS.md,780,TODO,"jq '.items[] | select(.path | startswith(""drivers/""))' reports/todo-report.json",# Universal driver issues,```
docs\ops\OPERATIONS.md,786,TODO,"echo ""$(date): $(jq '.totalCount' reports/todo-report.json)"" >> reports/todo-trend.log",# Compare counts over time,
docs\ops\OPERATIONS.md,786,TODO,"echo ""$(date): $(jq '.totalCount' reports/todo-report.json)"" >> reports/todo-trend.log",# Compare counts over time,
docs\ops\OPERATIONS.md,789,TODO,jq '.summary.countsByTag' reports/todo-report.json,# Tag distribution,
docs\ops\OPERATIONS.md,792,TODO,jq '.summary.countsByDir' reports/todo-report.json,# Directory breakdown,```
docs\ops\OPERATIONS.md,798,FIXME,- **FIXME/XXX items**: Convert to GitHub issues if affecting operations,**Escalation Criteria:**,- **NOTIMPL items**: Add to `spec/BACKLOG.md` if blocking features
docs\ops\OPERATIONS.md,798,XXX,- **FIXME/XXX items**: Convert to GitHub issues if affecting operations,**Escalation Criteria:**,- **NOTIMPL items**: Add to `spec/BACKLOG.md` if blocking features
docs\ops\OPERATIONS.md,799,NOTIMPLEMENTED,- **NOTIMPL items**: Add to `spec/BACKLOG.md` if blocking features,- **FIXME/XXX items**: Convert to GitHub issues if affecting operations,- **PANIC items**: Address immediately - these indicate critical gaps
docs\ops\OPERATIONS.md,801,HACK,- **HACK items**: Schedule proper implementation in upcoming sprints,- **PANIC items**: Address immediately - these indicate critical gaps,
docs\ops\OPERATIONS.md,806,TODO,- name: TODO Scanner,# Example CI check,run: make todo-scan
docs\ops\OPERATIONS.md,807,TODO,run: make todo-scan,- name: TODO Scanner,
docs\ops\OPERATIONS.md,811,FIXME,"if jq -e '.items[] | select(.tag == ""PANIC"" or .tag == ""FIXME"")' reports/todo-report.json > /dev/null; then",run: |,"echo ""::warning::Critical TODOs found - review required"""
docs\ops\OPERATIONS.md,811,TODO,"if jq -e '.items[] | select(.tag == ""PANIC"" or .tag == ""FIXME"")' reports/todo-report.json > /dev/null; then",run: |,"echo ""::warning::Critical TODOs found - review required"""
docs\ops\OPERATIONS.md,813,FIXME,"jq '.items[] | select(.tag == ""PANIC"" or .tag == ""FIXME"")' reports/todo-report.json","echo ""::warning::Critical TODOs found - review required""",fi
docs\ops\OPERATIONS.md,813,TODO,"jq '.items[] | select(.tag == ""PANIC"" or .tag == ""FIXME"")' reports/todo-report.json","echo ""::warning::Critical TODOs found - review required""",fi
docs\ops\OPERATIONS.md,819,TODO,**TODO Creation Guidelines:**,,- Include brief context: `// TODO: add rate limiting for /resolve endpoint`
docs\ops\OPERATIONS.md,820,TODO,- Include brief context: `// TODO: add rate limiting for /resolve endpoint`,**TODO Creation Guidelines:**,- Reference issues when applicable: `// TODO(#123): implement batch resolution`
docs\ops\OPERATIONS.md,821,TODO,- Reference issues when applicable: `// TODO(#123): implement batch resolution`,- Include brief context: `// TODO: add rate limiting for /resolve endpoint`,"- Use appropriate tags: `FIXME` for bugs, `TODO` for features"
docs\ops\OPERATIONS.md,822,FIXME,"- Use appropriate tags: `FIXME` for bugs, `TODO` for features",- Reference issues when applicable: `// TODO(#123): implement batch resolution`,- Avoid generic comments: prefer `TODO: validate DID format` over `TODO: fix this`
docs\ops\OPERATIONS.md,822,TODO,"- Use appropriate tags: `FIXME` for bugs, `TODO` for features",- Reference issues when applicable: `// TODO(#123): implement batch resolution`,- Avoid generic comments: prefer `TODO: validate DID format` over `TODO: fix this`
docs\ops\OPERATIONS.md,823,TODO,- Avoid generic comments: prefer `TODO: validate DID format` over `TODO: fix this`,"- Use appropriate tags: `FIXME` for bugs, `TODO` for features",
docs\ops\OPERATIONS.md,823,TODO,- Avoid generic comments: prefer `TODO: validate DID format` over `TODO: fix this`,"- Use appropriate tags: `FIXME` for bugs, `TODO` for features",
docs\ops\OPERATIONS.md,828,HACK,3. **Refactoring sprints**: Dedicate time to address HACK items,2. **Sprint planning**: Convert high-priority TODOs to formal tasks,4. **Release preparation**: Ensure no PANIC items in production code
docs\ops\OPERATIONS.md,832,TODO,- Include TODO count trends in sprint retrospectives,**Reporting:**,- Track resolution rate of TODO items over time
docs\ops\OPERATIONS.md,833,TODO,- Track resolution rate of TODO items over time,- Include TODO count trends in sprint retrospectives,- Use TODO density (items per KLOC) as code quality metric
docs\ops\OPERATIONS.md,834,TODO,- Use TODO density (items per KLOC) as code quality metric,- Track resolution rate of TODO items over time,
docs\site\method.md,319,TBD,**Next Review:** TBD based on implementation feedback,**Last Updated:** 2024-01-21,
docs\spec\method.md,319,TBD,**Next Review:** TBD based on implementation feedback,**Last Updated:** 2024-01-21,
drivers\uniregistrar-go\smoke.ps1,109,STUB,# Optional: Test update and deactivate with stub requests,,"Write-Host ""`n====================================="" -ForegroundColor Cyan"
registrar-go\internal\acc\submit.go,681,TODO,// TODO: Implement proper conversion based on:,,// 1. ops.Envelope structure
resolver-go\internal\acc\client.go,338,TODO,// TODO: Implement proper record to envelope conversion based on actual API types,"// For now, return a basic envelope structure",envelope := Envelope{
